"Artifact","File","Bytes","MD5"
"Figure S1","Figure_S01_simulation_eta_paths.png",331783,"4ee561a1b039ade26beac7155131dfa7"
"Figure S3","Figure_S03_generic_strong_entrywise.png",272014,"4feaed79926ec76ad4ab3769e8a69f43"
"Figure S4","Figure_S04_generic_weak_entrywise.png",273342,"6f7f9be2e5481312c865400adcb2e5b7"
"Figure S5","Figure_S05_sparse_strong_entrywise.png",281788,"a963bb3bffd6c00f4d7162b2135c42ed"
"Figure S6","Figure_S06_sparse_weak_entrywise.png",310801,"480af24bb29dd72d40711588d7a908ba"
"Figure S7","Figure_S07_sparse_loading_B.png",128513,"599adb3d7eae8633d668f5f913effe1c"
"Figure S8","Figure_S08_generic_strong_prediction.png",118192,"37241e21b5a175a57929ef6f2b50f771"
"Figure S9","Figure_S09_generic_weak_prediction.png",117504,"32a955e4ec74cc7baff43817c724c863"
"Figure S10","Figure_S10_sparse_strong_prediction.png",120373,"5621da4cd61422c74d976ed96b1a7372"
"Figure S11","Figure_S11_sparse_weak_prediction.png",122757,"6e8386ac6faa913bc60184fcb2b2b619"
"Figure S1 source data","Figure_S01_simulation_eta_paths.csv",18489,"3a909c6e122c1592b0d091eb9976c57d"
