"Setting","Estimator","Bias_med","Bias_q1","Bias_q3","SD_med","SD_q1","SD_q3","SE_med","SE_q1","SE_q3","CP_med","CP_q1","CP_q3"
"me=2.5, effect=0.25","IVW",0.1,0.041,0.148,0.089,0.084,0.11,0.095,0.087,0.111,85.9,60.2,91.3
"me=2.5, effect=0.25","SRIVW",0.205,0.056,1.311,1.544,0.276,12.5,12.665,0.761,29.646,99.4,97.9,99.9
"me=2.5, effect=0.25","Naive MR-rr",0.105,0.041,0.144,0.077,0.064,0.085,0.081,0.076,0.095,78.6,53,89.3
"me=2.5, effect=0.25","MR-rr",0.141,0.083,0.297,1.543,0.892,2.852,34.481,13.373,43.926,100,100,100
"me=2.5, effect=0.25","Reg. MR-rr",0.026,0.02,0.058,0.21,0.167,0.288,0.289,0.208,0.356,99.6,99.2,99.8
"me=2.5, effect=0.25","Sparse MR-rr",0.051,0.023,0.096,0.686,0.343,1.106,,,,,,
"me=2.5, effect=0.25","MrDAG",0.16,0.108,0.264,0.035,0.026,0.063,0.045,0.039,0.059,29.3,18.9,42.6
"me=1, effect=0.25","IVW",0.047,0.023,0.098,0.111,0.092,0.142,0.11,0.099,0.14,92.7,87.1,93.8
"me=1, effect=0.25","SRIVW",0.045,0.017,0.098,0.221,0.157,0.525,7.331,0.338,15.133,98.1,97,99.3
"me=1, effect=0.25","Naive MR-rr",0.062,0.025,0.084,0.079,0.074,0.112,0.097,0.085,0.118,89.7,83.4,93.8
"me=1, effect=0.25","MR-rr",0.02,0.01,0.048,0.174,0.111,0.263,8.513,3.774,13.353,99.2,99,99.3
"me=1, effect=0.25","Reg. MR-rr",0.02,0.01,0.048,0.173,0.111,0.262,0.406,0.207,0.65,98.9,98.7,99
"me=1, effect=0.25","Sparse MR-rr",0.036,0.015,0.071,0.125,0.095,0.19,,,,,,
"me=1, effect=0.25","MrDAG",0.144,0.09,0.194,0.043,0.025,0.074,0.054,0.044,0.065,47,31.9,53.2
"me=2.5, effect=1","IVW",0.037,0.017,0.064,0.068,0.052,0.083,0.066,0.055,0.081,90.9,81.5,94.2
"me=2.5, effect=1","SRIVW",0.017,0.007,0.025,0.105,0.072,0.174,0.307,0.2,0.881,96.6,95.7,97
"me=2.5, effect=1","Naive MR-rr",0.039,0.017,0.06,0.05,0.042,0.066,0.05,0.045,0.068,86.8,77.8,92.8
"me=2.5, effect=1","MR-rr",0.01,0.006,0.024,0.087,0.059,0.122,0.153,0.096,0.278,95.9,95.2,96.2
"me=2.5, effect=1","Reg. MR-rr",0.01,0.006,0.024,0.087,0.058,0.122,0.113,0.078,0.173,95.9,95.1,96.2
"me=2.5, effect=1","Sparse MR-rr",0.007,0.003,0.021,0.077,0.057,0.111,,,,,,
"me=2.5, effect=1","MrDAG",0.11,0.053,0.137,0.061,0.037,0.077,0.057,0.042,0.068,55.3,47.2,64.5
"me=1, effect=1","IVW",0.017,0.006,0.033,0.072,0.053,0.092,0.069,0.055,0.089,93.7,92.2,94.8
"me=1, effect=1","SRIVW",0.006,0.002,0.011,0.101,0.058,0.126,0.091,0.063,0.128,95.3,94.6,95.7
"me=1, effect=1","Naive MR-rr",0.016,0.008,0.033,0.052,0.045,0.071,0.055,0.044,0.071,93,90.7,93.9
"me=1, effect=1","MR-rr",0.003,0.002,0.01,0.067,0.049,0.091,0.071,0.052,0.093,95,94.3,95.3
"me=1, effect=1","Reg. MR-rr",0.003,0.002,0.01,0.067,0.049,0.091,0.071,0.052,0.093,95,94.3,95.3
"me=1, effect=1","Sparse MR-rr",0.013,0.006,0.026,0.061,0.047,0.086,,,,,,
"me=1, effect=1","MrDAG",0.077,0.042,0.121,0.065,0.039,0.082,0.06,0.043,0.069,68.2,56.5,74.5
